,ID,name,main_category,currency,deadline,goal,launched,pledged,state,backers,country,usd.pledged,campaign_duration
0,239894312,Barwagen,Crafts,CHF,2017-11-30 00:00:00,500.0,2017-10-23 19:32:00,15.0,failed,2.0,CH,0.0,37
1,353169821,StrongMACH Customs muscle car replicas,Art,USD,2016-10-03 00:00:00,100000.0,2016-08-04 18:29:00,0.0,failed,0.0,US,0.0,59
2,1387928487,Cravin' Dogs 30th anniversary CD project,Music,USD,2016-10-27 00:00:00,12500.0,2016-09-27 16:40:00,1180.0,failed,18.0,US,531.0,29
3,735160267,A Socially Awkward fundraiser!,Theater,GBP,2017-09-14 00:00:00,1500.0,2017-07-16 16:33:00,1500.0,successful,42.0,GB,144.05,59
4,1838469271,MechRunner,Games,USD,2014-05-17 00:00:00,25000.0,2014-04-13 20:57:00,28434.0,successful,574.0,US,28434.0,33
5,1001979324,Capturing the Soul of a Town,Film & Video,USD,2017-11-30 00:00:00,10000.0,2017-10-21 00:00:00,2935.0,failed,44.0,US,336.0,40
6,421395779,Poor Wayfaring Strangers Volume 1,Comics,USD,2016-02-27 00:00:00,12500.0,2016-01-28 22:54:00,13832.0,successful,413.0,US,13832.0,29
7,178870581,The WET Book,Photography,USD,2012-06-17 00:00:00,16000.0,2012-05-18 02:42:00,3020.0,failed,20.0,US,3020.0,29
8,1591095099,Widow:Bloody for Me--The Album & The Winding Road,Music,USD,2011-06-01 00:00:00,1500.0,2011-05-02 16:41:00,1945.0,successful,35.0,US,1945.0,29
9,1708124515,Standby For Transmission Mastering Costs Kickstarter,Music,USD,2013-08-02 00:00:00,800.0,2013-07-09 03:05:00,1070.0,successful,20.0,US,1070.0,23
10,786928534,"Gunny Gaiters - A Hat, Scarf and Bag in One",Fashion,USD,2015-12-31 00:00:00,2222.0,2015-12-02 00:29:00,2365.0,successful,34.0,US,2365.0,28
11,342073792,Journeymen Anthology #1,Comics,USD,2012-01-14 00:00:00,1500.0,2011-12-15 07:19:00,1717.0,successful,84.0,US,1717.0,29
12,1409537946,Lady's Night Out,Film & Video,USD,2016-09-19 00:00:00,25000.0,2016-08-20 16:01:00,10.0,failed,1.0,US,0.0,29
13,678506202,Oh'Pal – The Disposable Toothbrush with a Social Purpose!,Design,USD,2017-03-01 00:00:00,40000.0,2017-01-30 16:34:00,5449.0,failed,56.0,US,729.0,29
14,2103381919,Anura: The Beginning of the Drone Era for the Masses,Design,USD,2014-12-20 00:00:00,100000.0,2014-10-21 05:05:00,147509.0,canceled,716.0,US,147509.0,59
15,872160570,"""The Death Of Small Towns""",Art,USD,2013-02-19 00:00:00,50000.0,2013-01-20 16:28:00,5.0,failed,1.0,US,5.0,29
16,137056592,The Battle of Ido,Film & Video,USD,2017-11-22 00:00:00,12000.0,2017-09-23 18:38:00,0.0,failed,0.0,US,0.0,59
17,1011079021,"Ed-U-Cards ""Games to Grow Up With"" w/ Letterpress Editions",Games,USD,2012-12-22 00:00:00,30000.0,2012-11-17 04:32:00,297.0,canceled,11.0,US,297.0,34
18,1159792166,"Bees and Honey, Hives and Mead! VilleBilly Bees is Buzzin'",Food,CAD,2014-11-15 00:00:00,4000.0,2014-10-16 21:04:00,4084.0,successful,66.0,CA,3610.86,29
19,1118558945,Young Justice: MetaHuman Task Force,Film & Video,USD,2014-07-14 00:00:00,20000.0,2014-05-15 02:38:00,170.0,failed,4.0,US,170.0,59
20,1584765371,Enchanted Kingdom - A thinking game,Games,GBP,2014-10-10 00:00:00,6150.0,2014-08-11 20:05:00,434.25,failed,23.0,GB,728.46,59
21,2094209985,The Learning Center at Greystone Farm,Food,USD,2014-02-23 00:00:00,165000.0,2014-01-19 23:02:00,8507.0,failed,62.0,US,8507.0,34
22,746066250,"Photographing the Crazy, Teton, and Wasatch Mountains",Photography,USD,2013-06-14 00:00:00,1600.0,2013-05-15 16:48:00,0.0,canceled,0.0,US,0.0,29
23,1793267011,West Park Food Hall,Food,USD,2017-11-15 00:00:00,119000.0,2017-10-16 18:01:00,123656.0,successful,604.0,US,525.0,29
24,1844968337,Insolence Clothing Launch,Fashion,GBP,2014-06-20 00:00:00,2000.0,2014-04-21 22:51:00,2105.0,successful,71.0,GB,3534.64,59
25,1446075216,Raccoon Tail,Design,USD,2013-07-03 00:00:00,5000.0,2013-06-03 15:36:00,3569.0,failed,60.0,US,3569.0,29
26,1692904458,"There is ""Chaos In Eden""! Let's find Zaine's Teddy!",Comics,USD,2015-03-20 00:00:00,2000.0,2015-02-18 22:12:00,139.0,failed,4.0,US,139.0,29
27,1857893800,The next big thing in mobile entertainment! (Canceled),Technology,GBP,2014-12-12 00:00:00,5000.0,2014-11-12 09:49:00,71.0,canceled,7.0,GB,112.52,29
28,790132241,Pembroke Circle Feature,Film & Video,USD,2012-04-30 00:00:00,15000.0,2012-03-16 01:36:00,15435.0,successful,185.0,US,15435.0,44
29,1916624195,Illustrated Children's Book: Annie Just Wants To Play,Publishing,USD,2016-06-05 00:00:00,5000.0,2016-05-06 23:25:00,6138.0,successful,102.0,US,6138.0,29
30,562552827,The Curmudgeon Code,Publishing,USD,2015-10-01 00:00:00,4100.0,2015-09-01 06:55:00,620.0,failed,11.0,US,620.0,29
